network,date,text,first,last,year,label
MSNBC,20120126,"because in the past any time the democrats have tried to do this, the old whether it was al gore who tried it, walter mondale who tried it, this idea its us versus them. yeah. that it hasnt worked. at the end democrats looked like they were somehow punishing success, and republicans have run that campaign before and won.",al,gore,2012,0
FOXNEWSW,20140304,"some people might know of mitch mcconnell nationally. youve got national figures fighting over the direction of the party. are they going the chris christie direction or rand paul ted cruz direction. i think that will sort out in the primary. thats the way, you know, the republicans sort of a double edged sword.",Mitch,McConnell,2014,0
FBC,20131113,"senator mary landrieu of louisiana, jeff berkeley and dianne feinstein supporting an effort to allow insurance companies to reissue those plans. the problem is the insurance industry and analysts say it took quite some time to give those plans phased out. it will take months to phase them back in. quite a gap and plenty of confusion when it comes to issuing insurance.",Mary,Landrieu,2014,0
CSPAN,20190627,"jersey0-year-old new senator, cory booker, also served as mayor of newark. tyrone, good morning to you. what did you think of the debate last night? caller: it was refreshing to see adults on stage not calling each other names, not trying to belittle each other about their plans and speaking about some of the things that matter to the american people.",Cory,Booker,2020,1
FOXNEWSW,20160211,". the bush surge in new hampshire was the wort possible outcome for fellow the republican marco rubio. on the way to south carolina, he pledged to do better. in seven of those debates, did i very well. aid bad incident at the beginning of this debate. it is on me.",Marco,Rubio,2016,0
CSPAN,20110716,"senator sherrod brown stands up for them. for france, we will be able to motivate them. or friends ---- for friends, we will be able to motivate them. rich, you have included a note on the importance of opportunity and the importance of fairness. the importance of community. these are the figures about income growth from 1976 to 2007.",sherrod,brown,2012,1
CNNW,20170929,"""outfront"" tonight, simone, former national press secretary bernie sanders, ben ferguson, a conservative radio host, simone, you look at those poll numbers there and yet, you have to ask the question. is the president right? is more of the country with him on standing for the anthem? look, i think the president is wrong and i think have you asked the question in a poll matters.",Bernie,Sanders,2018,1
MSNBC,20101025,". it may be an election issue if jim demint leads the issue and theyre going to go after big bird and go after him like they went after the nra. belt tightening is the right thing, american people need to be told. we need the right politicians. in the real world when you talk about the real politicians and what theyre putting out there, the protypical tea party candidate, marco rubio, his plan is to add $3.5",jim,demint,2010,0
FOXNEWSW,20181011,"hes not gone negative on ted cruz. hes falling behind. do you think it was worth it putting all this money towards this race? i dont know how you can call it fools gold when benson won it in 1990. this is a tough, tough place for democrats to run in.",Ted,Cruz,2018,1
MSNBCW,20171208,"mccaskill, for example. but he gave it to bob menendez for no good reason. bob menendez has no expertise to the bring to the committee and the republicans are running the conference and no intention of listening to a word a democrat says with the possible occasional exception to senator ron widen, the top democrat on the senate finance committee and knows more about any other taxation than any other democrat in the conference but they have only one public meeting at the beginning of the conference which is an entirely fake meeting and then the republican chairman of the",Claire,McCaskill,2018,1
MSNBCW,20170824,"dean heller will have a tough fight too up in nevada. those are probably the two most competitive seats that well be facing in the general election. and i believe all our efforts should be to shore up those two candidates for the general election. having a battle, a purity battle, in the primary, only to lose the general election would be just an exercise in political malpractice in my view.",Dean,Heller,2018,0
MSNBC,20100923,". plus, be not ready for primetime tea partier sharron angle uses fox and the drugster to get money. and rahm may be packing his bags sooner than you think. you use the healing power of touch every day. ♪ now the healing power of touch just got more powerful. introducing precise from the makers of tylenol.",sharron,angle,2010,0
CSPAN,20180304,"this.you mentioned were just part of the re-organization of priceless supporters of bernie sanders from 2016. i was 2020 going to be different? it affect you and you will commission 2017 for your viewers, the union commission, there were people from the sanders campaign, the .linton campaign we had to put a recommendation that could help in short that the process is open to everyone, that it would make it easier for people, and that people have confidence in the democratic party.",Bernie,Sanders,2018,1
